% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
126.5    -7.26808556e-10  3.27814376e-07  1.76920985e-05  0.95  1.58220650e-06  4.31833717e-05  5.26605868e-06 
127.5    -1.57815999e-10  8.50609426e-08  1.52935833e-05  0.95  5.08149030e-07  2.22705203e-05  1.60566073e-06 
128.5    -1.17377545e-10  6.32650980e-08  1.23296767e-05  0.95  3.77941945e-07  1.75188575e-05  1.19422946e-06 
129.5    -5.73834119e-11  7.57079693e-08  1.75886126e-05  0.93  7.63296694e-07  2.47769406e-05  2.10253704e-06 
130.5    -1.24053248e-09  5.70638506e-07  1.20965081e-04  0.91  4.16222369e-06  1.65629011e-04  9.84156890e-06 
131.5    -2.12721218e-10  9.61118248e-08  1.95150657e-05  0.91  6.62435421e-07  2.69932236e-05  1.61713086e-06 
132.5    -1.07001857e-10  6.29334120e-08  1.62571838e-05  0.90  5.67873985e-07  2.15341197e-05  1.32502468e-06 
133.5    -8.94382834e-10  8.71939234e-07  1.31975911e-04  0.94  7.54203153e-06  2.12014742e-04  2.21787953e-05 
134.5    -8.35494200e-11  6.28665121e-08  1.35754292e-05  0.88  7.29144198e-07  1.91216485e-05  1.54745814e-06 
135.5    -1.25088026e-10  8.54845405e-08  3.77824430e-05  0.90  8.81264590e-07  4.51888654e-05  1.97963719e-06 
136.5    -9.79967900e-11  7.22954986e-08  2.10731394e-05  0.90  7.68205303e-07  2.74286335e-05  1.73504611e-06 
137.5    -1.24013546e-10  7.97949440e-08  2.37165611e-05  0.91  7.11357554e-07  3.05446286e-05  1.75299027e-06 
138.5    -7.39876006e-11  5.55570063e-08  2.54832371e-05  0.87  6.99090195e-07  3.03827999e-05  1.39318712e-06 
139.5    -9.49205508e-10  4.89958571e-07  4.33705249e-05  0.96  2.54613277e-06  8.30851459e-05  8.85885310e-06 
140.5    -5.67937224e-10  3.05432744e-07  4.62582464e-05  0.95  1.88073609e-06  7.12958663e-05  5.77496557e-06 
141.5    -2.43621952e-10  1.13736869e-07  3.27628394e-05  0.90  8.95784614e-07  4.17078484e-05  2.01357867e-06 
142.5    -1.95955912e-10  1.01825495e-07  3.75119030e-05  0.83  1.18926525e-06  4.57810408e-05  2.13466834e-06 
